pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,hh_t,hh_m,hh_f
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017020,Pantanaw,60277,50450,9827
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017019,Maubin,71804,57959,13845
MMR017,Ayeyarwady,MMR017D003,Myaungmya,MMR017014,Myaungmya,66172,54021,12151
MMR017,Ayeyarwady,MMR017D003,Myaungmya,MMR017017,Wakema,67448,53139,14309
MMR017,Ayeyarwady,MMR017D003,Myaungmya,MMR017015,Einme,46455,36404,10051
MMR017,Ayeyarwady,MMR017D004,Labutta,MMR017018,Mawlamyinegyun,74886,59272,15614
MMR017,Ayeyarwady,MMR017D004,Labutta,MMR017016,Labutta,75583,65009,10574
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017012,Kyangin,26857,21527,5330
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017009,Zalun,42073,33468,8605
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017011,Myanaung,59920,46301,13619
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017010,Lemyethna,26244,21076,5168
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017008,Hinthada,86129,66508,19621
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017013,Ingapu,57229,45612,11617
MMR018,Nay Pyi Taw,MMR018D001,Nay Pyi Taw (North),MMR018003,Tatkon,51747,40621,11126
MMR018,Nay Pyi Taw,MMR018D001,Nay Pyi Taw (North),MMR018001,Zay Yar Thi Ri,26075,21221,4854
MMR018,Nay Pyi Taw,MMR018D001,Nay Pyi Taw (North),MMR018008,Oke Ta Ra Thi Ri,18661,15918,2743
MMR018,Nay Pyi Taw,MMR018D001,Nay Pyi Taw (North),MMR018005,Poke Ba Thi Ri,27616,21760,5856
MMR018,Nay Pyi Taw,MMR018D002,Nay Pyi Taw (South),MMR018006,Pyinmana,39663,30164,9499
MMR018,Nay Pyi Taw,MMR018D002,Nay Pyi Taw (South),MMR018007,Lewe,65174,51661,13513
MMR018,Nay Pyi Taw,MMR018D002,Nay Pyi Taw (South),MMR018002,Za Bu Thi Ri,26320,18135,8185
MMR018,Nay Pyi Taw,MMR018D002,Nay Pyi Taw (South),MMR018004,Det Khi Na Thi Ri,6997,5680,1317
