pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,hh_t,hh_m,hh_f
MMR005,Sagaing,MMR005D008,Hkamti,MMR005035,Lay Shi,1966,1590,376
MMR005,Sagaing,MMR005D008,Hkamti,MMR005036,Lahe,8932,7830,1102
MMR005,Sagaing,MMR005D008,Hkamti,MMR005037,Nanyun,7840,6856,984
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005016,Yinmabin,29532,23154,6378
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005018,Salingyi,26467,19445,7022
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005019,Pale,32362,24142,8220
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005017,Kani,29223,21790,7433
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006001,Dawei,29133,17496,11637
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006002,Launglon,25735,17231,8504
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006003,Thayetchaung,22874,10281,12593
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006004,Yebyu,26350,19510,6840
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006005,Myeik,54349,43414,10935
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006006,Kyunsu,32988,27672,5316
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006007,Palaw,25653,19741,5912
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006008,Tanintharyi,19929,11956,7973
MMR006,Tanintharyi,MMR006D003,Kawthoung,MMR006009,Kawthoung,30346,20967,9379
MMR006,Tanintharyi,MMR006D003,Kawthoung,MMR006010,Bokpyin,15742,12991,2751
MMR111,Bago,MMR007D001,Bago,MMR007001,Bago,107132,81404,25728
MMR111,Bago,MMR007D001,Bago,MMR007002,Thanatpin,32527,25846,6681
MMR111,Bago,MMR007D001,Bago,MMR007003,Kawa,46075,36852,9223
MMR111,Bago,MMR007D001,Bago,MMR007004,Waw,37083,28664,8419
MMR111,Bago,MMR007D001,Bago,MMR007005,Nyaunglebin,44762,33239,11523
MMR111,Bago,MMR007D001,Bago,MMR007006,Kyauktaga,51648,40373,11275
MMR111,Bago,MMR007D001,Bago,MMR007007,Daik-U,45753,33539,12214
MMR111,Bago,MMR007D001,Bago,MMR007008,Shwegyin,21782,16154,5628
MMR111,Bago,MMR007D002,Taungoo,MMR007009,Taungoo,57460,42563,14897
MMR111,Bago,MMR007D002,Taungoo,MMR007010,Yedashe,50527,38735,11792
MMR111,Bago,MMR007D002,Taungoo,MMR007011,Kyaukkyi,22883,15093,7790
MMR111,Bago,MMR007D002,Taungoo,MMR007012,Phyu,54931,39999,14932
MMR111,Bago,MMR007D002,Taungoo,MMR007013,Oktwin,36870,26119,10751
MMR111,Bago,MMR007D002,Taungoo,MMR007014,Htantabin,26781,19892,6889
MMR111,Bago,MMR008D001,Pyay,MMR008001,Pyay,58557,44362,14195
MMR111,Bago,MMR008D001,Pyay,MMR008002,Paukkhaung,32347,27003,5344
MMR111,Bago,MMR008D001,Pyay,MMR008003,Padaung,38892,27956,10936
MMR111,Bago,MMR008D001,Pyay,MMR008004,Paungde,36700,29361,7339
MMR111,Bago,MMR008D001,Pyay,MMR008005,Thegon,35950,27415,8535
MMR111,Bago,MMR008D001,Pyay,MMR008006,Shwedaung,33564,25048,8516
MMR111,Bago,MMR008D002,Thayarwady,MMR008007,Thayarwady,36626,28867,7759
MMR111,Bago,MMR008D002,Thayarwady,MMR008008,Letpadan,43484,34398,9086
MMR111,Bago,MMR008D002,Thayarwady,MMR008009,Minhla,30894,24314,6580
MMR111,Bago,MMR008D002,Thayarwady,MMR008010,Okpho,31894,25721,6173
MMR111,Bago,MMR008D002,Thayarwady,MMR008011,Zigon,18210,14743,3467
MMR111,Bago,MMR008D002,Thayarwady,MMR008012,Nattalin,45769,37530,8239
MMR111,Bago,MMR008D002,Thayarwady,MMR008013,Monyo,33287,27448,5839
MMR111,Bago,MMR008D002,Thayarwady,MMR008014,Gyobingauk,30586,24739,5847
MMR009,Magway,MMR009D001,Magway,MMR009001,Magway,68677,52895,15782
MMR009,Magway,MMR009D001,Magway,MMR009002,Yenangyaung,32500,22295,10205
MMR009,Magway,MMR009D001,Magway,MMR009003,Chauk,44618,30933,13685
MMR009,Magway,MMR009D001,Magway,MMR009004,Taungdwingyi,60263,46469,13794
MMR009,Magway,MMR009D001,Magway,MMR009005,Myothit,36948,28420,8528
MMR009,Magway,MMR009D001,Magway,MMR009006,Natmauk,48426,35033,13393
MMR009,Magway,MMR009D002,Minbu,MMR009007,Minbu,43817,33703,10114
MMR009,Magway,MMR009D002,Minbu,MMR009008,Pwintbyu,39764,31040,8724
MMR009,Magway,MMR009D002,Minbu,MMR009009,Ngape,12457,9978,2479
MMR009,Magway,MMR009D002,Minbu,MMR009010,Salin,55605,42523,13082
MMR009,Magway,MMR009D002,Minbu,MMR009011,Sidoktaya,10780,8532,2248
MMR009,Magway,MMR009D003,Thayet,MMR009012,Thayet,25972,20084,5888
MMR009,Magway,MMR009D003,Thayet,MMR009013,Minhla,31622,26495,5127
MMR009,Magway,MMR009D003,Thayet,MMR009014,Mindon,16809,13394,3415
MMR009,Magway,MMR009D003,Thayet,MMR009015,Kamma,19143,15777,3366
MMR009,Magway,MMR009D003,Thayet,MMR009016,Aunglan,57609,45664,11945
MMR009,Magway,MMR009D003,Thayet,MMR009017,Sinbaungwe,28684,23195,5489
MMR009,Magway,MMR009D004,Pakokku,MMR009018,Pakokku,66340,45441,20899
MMR009,Magway,MMR009D004,Pakokku,MMR009019,Yesagyo,47332,32014,15318
MMR009,Magway,MMR009D004,Pakokku,MMR009020,Myaing,53641,38876,14765
MMR009,Magway,MMR009D004,Pakokku,MMR009021,Pauk,38965,28984,9981
MMR009,Magway,MMR009D004,Pakokku,MMR009022,Seikphyu,23427,17143,6284
MMR009,Magway,MMR009D005,Gangaw,MMR009023,Gangaw,29912,23423,6489
MMR009,Magway,MMR009D005,Gangaw,MMR009024,Tilin,10532,7805,2727
MMR009,Magway,MMR009D005,Gangaw,MMR009025,Saw,15934,12052,3882
MMR010,Mandalay,MMR010D001,Mandalay,MMR010001,Aungmyaythazan,49731,36299,13432
MMR010,Mandalay,MMR010D001,Mandalay,MMR010002,Chanayethazan,33281,23252,10029
MMR010,Mandalay,MMR010D001,Mandalay,MMR010003,Mahaaungmyay,41927,30302,11625
MMR010,Mandalay,MMR010D001,Mandalay,MMR010004,Chanmyathazi,53047,40491,12556
MMR010,Mandalay,MMR010D001,Mandalay,MMR010005,Pyigyitagon,43875,35050,8825
MMR010,Mandalay,MMR010D001,Mandalay,MMR010006,Amarapura,49626,29295,20331
MMR010,Mandalay,MMR010D001,Mandalay,MMR010007,Patheingyi,52990,27337,25653
MMR010,Mandalay,MMR010D002,Pyinoolwin,MMR010008,Pyinoolwin,53382,41312,12070
MMR010,Mandalay,MMR010D002,Pyinoolwin,MMR010009,Madaya,58645,46508,12137
MMR010,Mandalay,MMR010D002,Pyinoolwin,MMR010010,Singu,34533,28444,6089
MMR010,Mandalay,MMR010D002,Pyinoolwin,MMR010011,Mogoke,35247,25235,10012
MMR010,Mandalay,MMR010D002,Pyinoolwin,MMR010012,Thabeikkyin,33141,27843,5298
MMR010,Mandalay,MMR010D003,Kyaukse,MMR010013,Kyaukse,57765,45541,12224
MMR010,Mandalay,MMR010D003,Kyaukse,MMR010014,Sintgaing,33579,24965,8614
MMR010,Mandalay,MMR010D003,Kyaukse,MMR010015,Myittha,46017,37029,8988
MMR010,Mandalay,MMR010D003,Kyaukse,MMR010016,Tada-U,32627,24865,7762
MMR010,Mandalay,MMR010D004,Myingyan,MMR010017,Myingyan,62340,45081,17259
MMR010,Mandalay,MMR010D004,Myingyan,MMR010018,Taungtha,49852,36367,13485
MMR010,Mandalay,MMR010D004,Myingyan,MMR010019,Natogyi,40965,31021,9944
MMR010,Mandalay,MMR010D004,Myingyan,MMR010020,Kyaukpadaung,61961,44263,17698
MMR010,Mandalay,MMR010D004,Myingyan,MMR010021,Ngazun,27838,21710,6128
MMR010,Mandalay,MMR010D005,Nyaung-U,MMR010022,Nyaung-U,54473,40392,14081
MMR010,Mandalay,MMR010D006,Yamethin,MMR010023,Yamethin,57259,44807,12452
MMR010,Mandalay,MMR010D006,Yamethin,MMR010024,Pyawbwe,58863,44566,14297
MMR010,Mandalay,MMR010D007,Meiktila,MMR010028,Meiktila,68439,48510,19929
MMR010,Mandalay,MMR010D007,Meiktila,MMR010029,Mahlaing,33327,23525,9802
MMR010,Mandalay,MMR010D007,Meiktila,MMR010030,Thazi,44892,34598,10294
MMR010,Mandalay,MMR010D007,Meiktila,MMR010031,Wundwin,53569,42673,10896
MMR011,Mon,MMR011D001,Mawlamyine,MMR011001,Mawlamyine,57457,39309,18148
MMR011,Mon,MMR011D001,Mawlamyine,MMR011002,Kyaikmaraw,38888,27596,11292
MMR011,Mon,MMR011D001,Mawlamyine,MMR011003,Chaungzon,27944,18307,9637
MMR011,Mon,MMR011D001,Mawlamyine,MMR011004,Thanbyuzayat,36234,26763,9471
