pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,usuact_10ab_t,usuact_10ab_govemp_t,usuact_10ab_priemp_t,usuact_10ab_empyr_t,usuact_10ab_ownacc_t,usuact_10ab_unpfam_t,usuact_10ab_seekw_t,usuact_10ab_nseekw_t,usuact_10ab_stu_t,usuact_10ab_hhwork_t,usuact_10ab_retir_t,usuact_10ab_ill_t,usuact_10ab_oth_t
MMR005,Sagaing,MMR005D001,Sagaing,MMR005002,Myinmu,91463,1970,5019,1057,24542,9576,8924,1146,10224,19453,6864,696,1992
MMR005,Sagaing,MMR005D001,Sagaing,MMR005003,Myaung,90323,2237,15343,1763,21269,11187,2264,1243,10853,14986,6228,774,2176
MMR005,Sagaing,MMR005D002,Shwebo,MMR005004,Shwebo,226001,6727,53491,6503,54246,15008,4245,540,28197,32528,16587,1655,6274
MMR005,Sagaing,MMR005D002,Shwebo,MMR005005,Khin-U,122175,1746,16913,1881,33932,23466,1272,140,15995,15589,8234,877,2130
MMR005,Sagaing,MMR005D002,Shwebo,MMR005006,Wetlet,165832,2521,25123,4203,47977,24264,2393,173,18877,23641,11900,1381,3379
MMR005,Sagaing,MMR005D002,Shwebo,MMR005007,Kanbalu,239997,4212,21490,4137,77483,49025,3136,370,35111,25560,12931,1153,5389
MMR005,Sagaing,MMR005D002,Shwebo,MMR005008,Kyunhla,84148,1548,9521,1732,26505,14488,1403,132,11147,10849,4952,457,1414
MMR005,Sagaing,MMR005D002,Shwebo,MMR005009,Ye-U,97378,1967,11130,2120,26688,13380,2267,226,14928,13818,8213,934,1707
MMR005,Sagaing,MMR005D002,Shwebo,MMR005010,Tabayin,114448,1723,15484,5599,26847,17381,2123,314,16071,17726,8277,1062,1841
MMR005,Sagaing,MMR005D002,Shwebo,MMR005011,Taze,133715,2007,7319,8538,29301,27101,4163,271,21007,21026,9616,1106,2260
MMR005,Sagaing,MMR005D003,Monywa,MMR005012,Monywa,318078,13969,70149,9411,69688,16852,6939,959,43489,50470,20798,2218,13136
MMR005,Sagaing,MMR005D003,Monywa,MMR005013,Budalin,101921,2074,17350,2767,26199,11499,1908,232,14188,14377,8477,1071,1779
MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,130318,2186,21017,2021,31101,10279,3247,297,15364,30078,10297,1181,3250
MMR005,Sagaing,MMR005D003,Monywa,MMR005015,Chaung-U,89626,1869,20775,4211,21855,6626,1525,260,10261,13355,6109,718,2062
