pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,usuact_10ab_t,usuact_10ab_govemp_t,usuact_10ab_priemp_t,usuact_10ab_empyr_t,usuact_10ab_ownacc_t,usuact_10ab_unpfam_t,usuact_10ab_seekw_t,usuact_10ab_nseekw_t,usuact_10ab_stu_t,usuact_10ab_hhwork_t,usuact_10ab_retir_t,usuact_10ab_ill_t,usuact_10ab_oth_t
MMR012,Rakhine,MMR012D001,Sittwe,MMR012002,Ponnagyun,103376,1928,4502,2271,16997,5879,7804,1081,17075,29521,5789,576,9953
MMR012,Rakhine,MMR012D001,Sittwe,MMR012007,Pauktaw,115547,1706,14067,4583,15897,7624,8296,1631,17427,31970,5399,640,6307
MMR012,Rakhine,MMR012D001,Sittwe,MMR012008,Rathedaung,88582,2527,5127,3541,10531,7874,6113,1278,16084,22038,5522,800,7147
MMR012,Rakhine,MMR012D005,Mrauk-U,MMR012003,Mrauk-U,151799,3139,24654,7309,21675,10333,9848,1604,22531,37807,8038,1118,3743
MMR012,Rakhine,MMR012D005,Mrauk-U,MMR012004,Kyauktaw,138340,3923,11570,5592,23312,15400,6445,1201,23432,30850,7666,801,8148
MMR012,Rakhine,MMR012D005,Mrauk-U,MMR012005,Minbya,133596,3383,14496,4946,18546,10795,12420,1564,19965,29013,6232,926,11310
MMR012,Rakhine,MMR012D005,Mrauk-U,MMR012006,Myebon,106242,1575,8074,3316,26191,9766,5622,1128,17583,22345,4983,676,4983
MMR012,Rakhine,MMR012D002,Maungdaw,MMR012009,Maungdaw,32005,4159,2117,782,6353,3256,1353,232,4487,6400,986,125,1755
MMR012,Rakhine,MMR012D002,Maungdaw,MMR012010,Buthidaung,42894,4513,1986,1030,7993,4749,1762,422,6720,9546,1402,215,2556
MMR012,Rakhine,MMR012D003,Kyaukpyu,MMR012011,Kyaukpyu,133678,4871,13513,2259,34455,8213,5904,1234,20577,28091,8773,928,4860
MMR012,Rakhine,MMR012D003,Kyaukpyu,MMR012012,Munaung,48851,1341,1721,898,11665,4498,1416,173,5573,12635,4449,402,4080
MMR012,Rakhine,MMR012D003,Kyaukpyu,MMR012013,Ramree,80114,1824,4513,1805,19905,9367,3419,628,12153,16048,6522,694,3236
MMR012,Rakhine,MMR012D003,Kyaukpyu,MMR012014,Ann,93152,3712,6630,824,27002,5953,3813,673,13623,21056,4339,534,4993
MMR012,Rakhine,MMR012D004,Thandwe,MMR012015,Thandwe,113523,4167,19528,1729,24992,6408,2939,606,13377,26235,9181,817,3544
MMR012,Rakhine,MMR012D004,Thandwe,MMR012016,Toungup,128769,3477,10310,1433,36345,9987,4714,1951,18929,26226,8598,898,5901
MMR012,Rakhine,MMR012D004,Thandwe,MMR012017,Gwa,56149,1664,8648,1512,11910,3588,1490,126,6512,13383,4129,478,2709
MMR013,Yangon,MMR013D001,Yangon (North),MMR013001,Insein,265187,16105,76766,3461,37202,5195,6252,1056,38356,47804,18647,1933,12410
MMR013,Yangon,MMR013D001,Yangon (North),MMR013002,Mingaladon,284095,22287,88051,3136,34075,5318,5542,1466,38963,54231,15852,1658,13516
MMR013,Yangon,MMR013D001,Yangon (North),MMR013003,Hmawbi,202679,11927,50276,2764,32559,8545,4069,831,29364,39589,11474,1431,9850
MMR013,Yangon,MMR013D001,Yangon (North),MMR013004,Hlegu,220988,12588,54931,3927,30162,6723,4036,826,31971,46412,11200,1701,16511
MMR013,Yangon,MMR013D001,Yangon (North),MMR013005,Taikkyi,226477,7276,52076,7211,34312,13458,4560,825,28670,50047,11561,1585,14896
MMR013,Yangon,MMR013D001,Yangon (North),MMR013006,Htantabin,117759,1713,32276,3068,18661,7853,1638,402,15556,24248,5112,904,6328
MMR013,Yangon,MMR013D001,Yangon (North),MMR013007,Shwepyithar,288935,8733,101871,3547,37816,5391,6165,1278,39014,54856,17901,2146,10217
MMR013,Yangon,MMR013D001,Yangon (North),MMR013008,Hlaingtharya,579376,9009,257135,8032,63054,7920,9051,2647,63774,111046,24786,3611,19311
MMR013,Yangon,MMR013D002,Yangon (East),MMR013009,Thingangyun,184357,7384,43650,3438,26377,2980,4199,736,27106,39283,15101,1181,12922
MMR013,Yangon,MMR013D002,Yangon (East),MMR013010,Yankin,63446,5027,15967,1221,7582,1072,1703,334,8957,11802,6077,436,3268
MMR013,Yangon,MMR013D002,Yangon (East),MMR013011,South Okkalapa,144215,6417,35954,2628,22133,2418,4280,780,20500,29206,13568,1086,5245
MMR013,Yangon,MMR013D002,Yangon (East),MMR013012,North Okkalapa,291061,10832,81351,4715,49388,5273,7380,1197,40986,55341,21333,2449,10816
MMR013,Yangon,MMR013D002,Yangon (East),MMR013013,Thaketa,193630,9182,50495,2816,30503,3930,5764,1092,27360,39451,14169,1723,7145
MMR013,Yangon,MMR013D002,Yangon (East),MMR013014,Dawbon,64250,2133,17434,755,10210,1081,1581,246,8978,15016,4006,542,2268
MMR013,Yangon,MMR013D002,Yangon (East),MMR013015,Tamwe,147988,6478,34570,3716,20687,4627,4437,887,20760,31475,13094,940,6317
MMR013,Yangon,MMR013D002,Yangon (East),MMR013016,Pazundaung,43700,1786,9254,1259,5518,1465,1139,388,6001,9641,4392,206,2651
MMR013,Yangon,MMR013D002,Yangon (East),MMR013017,Botahtaung,36760,4093,8037,1001,3528,937,884,132,5263,7613,3044,276,1952
MMR013,Yangon,MMR013D002,Yangon (East),MMR013018,Dagon Myothit (South),312788,8196,100264,3720,40847,5970,7159,1666,42624,68263,19566,2615,11898
MMR013,Yangon,MMR013D002,Yangon (East),MMR013019,Dagon Myothit (North),178710,8236,45495,2767,23690,3699,4588,832,26734,36560,18173,1435,6501
MMR013,Yangon,MMR013D002,Yangon (East),MMR013020,Dagon Myothit (East),140174,4742,41276,1925,19629,3421,2993,732,19749,28277,8837,1191,7402
MMR013,Yangon,MMR013D002,Yangon (East),MMR013021,Dagon Myothit (Seikkan),138921,3067,51120,1454,17994,2939,2645,600,17065,29492,6588,1057,4900
MMR013,Yangon,MMR013D002,Yangon (East),MMR013022,Mingalartaungnyunt,115831,6605,25732,2389,16450,3517,2942,508,16698,27400,8705,870,4015
MMR013,Yangon,MMR013D003,Yangon (South),MMR013023,Thanlyin,224169,12562,53115,3253,32102,9961,4265,1334,29944,47545,13355,2081,14652
MMR013,Yangon,MMR013D003,Yangon (South),MMR013024,Kyauktan,140489,3008,34911,6136,19800,7859,3470,798,16728,37494,7064,1065,2156
MMR013,Yangon,MMR013D003,Yangon (South),MMR013025,Thongwa,130004,1904,28908,6340,18996,14549,2032,506,15717,28200,6025,1054,5773
MMR013,Yangon,MMR013D003,Yangon (South),MMR013026,Kayan,129281,1935,31764,5731,19055,9437,2653,345,17327,27774,7025,1058,5177
MMR013,Yangon,MMR013D003,Yangon (South),MMR013027,Twantay,183687,3398,39478,5224,39440,16000,3996,553,28156,34633,8822,1757,2230
MMR013,Yangon,MMR013D003,Yangon (South),MMR013028,Kawhmu,96973,1816,18948,4368,23620,16651,1264,129,14092,8896,3743,1089,2357
MMR013,Yangon,MMR013D003,Yangon (South),MMR013029,Kungyangon,91130,1765,13819,3903,14587,4713,2140,254,13256,22472,4652,948,8621
MMR013,Yangon,MMR013D003,Yangon (South),MMR013030,Dala,140661,4755,32730,2252,21793,3073,5799,1165,19223,34119,7050,1392,7310
MMR013,Yangon,MMR013D003,Yangon (South),MMR013031,Seikgyikanaungto,27408,697,8881,148,3619,382,712,129,4097,6647,1314,281,501
MMR013,Yangon,MMR013D003,Yangon (South),MMR013032,Cocokyun,1693,326,883,14,63,74,7,,112,177,24,7,6
MMR013,Yangon,MMR013D004,Yangon (West),MMR013033,Kyauktada,27266,1525,6592,938,3582,970,785,154,3408,5073,2600,240,1399
MMR013,Yangon,MMR013D004,Yangon (West),MMR013034,Pabedan,29748,606,6323,1302,4474,1490,621,119,3983,7286,2263,246,1035
MMR013,Yangon,MMR013D004,Yangon (West),MMR013035,Lanmadaw,44149,2248,13817,1552,5168,1442,1092,214,5909,7024,3578,247,1858
MMR013,Yangon,MMR013D004,Yangon (West),MMR013036,Latha,23592,1071,7601,1074,2978,931,545,133,2872,3699,1896,220,572
MMR013,Yangon,MMR013D004,Yangon (West),MMR013037,Ahlone,50146,3933,13972,1115,5967,1230,1299,155,6797,9287,4021,285,2085
MMR013,Yangon,MMR013D004,Yangon (West),MMR013038,Kyeemyindaing,95931,3633,24988,1844,16768,2520,2428,586,12487,18519,6768,655,4735
MMR013,Yangon,MMR013D004,Yangon (West),MMR013039,Sanchaung,91096,4229,24580,1859,11700,1996,2606,390,13029,15891,8866,497,5453
MMR013,Yangon,MMR013D004,Yangon (West),MMR013040,Hlaing,144144,9055,40944,3078,19526,3484,4019,541,20332,24876,11500,954,5835
MMR013,Yangon,MMR013D004,Yangon (West),MMR013041,Kamaryut,77655,5969,24258,1894,7815,1495,2498,436,11891,11213,5963,368,3855
MMR013,Yangon,MMR013D004,Yangon (West),MMR013042,Mayangone,175456,10355,52096,4114,21635,4708,4865,927,25005,30404,12753,1091,7503
MMR013,Yangon,MMR013D004,Yangon (West),MMR013043,Dagon,22634,3454,5768,813,1849,331,600,84,3447,3232,1841,158,1057
MMR013,Yangon,MMR013D004,Yangon (West),MMR013044,Bahan,88466,5683,25565,2641,10672,2365,1980,313,11021,13195,7112,492,7427
MMR013,Yangon,MMR013D004,Yangon (West),MMR013045,Seikkan,2524,408,734,33,235,144,18,7,444,378,63,3,57
MMR222,Shan,MMR014D001,Taunggyi,MMR014001,Taunggyi,361414,14496,66861,7395,87352,41424,5676,945,58216,44032,19169,2258,13590
MMR222,Shan,MMR014D001,Taunggyi,MMR014002,Nyaungshwe,155945,2812,32830,4110,47541,20068,1306,452,18918,14618,7294,1420,4576
MMR222,Shan,MMR014D001,Taunggyi,MMR014003,Hopong,88065,3510,8443,1228,29901,21074,436,83,10690,6255,3195,447,2803
MMR222,Shan,MMR014D001,Taunggyi,MMR014004,Hsihseng,115405,1903,8535,818,46555,27170,777,255,14754,7081,4007,602,2948
MMR222,Shan,MMR014D001,Taunggyi,MMR014005,Kalaw,151654,6096,24379,2172,41378,31258,1758,298,18719,15235,6545,831,2985
MMR222,Shan,MMR014D001,Taunggyi,MMR014006,Pindaya,63839,1312,6442,696,15426,21627,517,67,8563,3646,3400,328,1815
MMR222,Shan,MMR014D001,Taunggyi,MMR014007,Ywangan,65965,1342,3916,351,22025,16818,642,80,8649,6481,3180,452,2029
MMR222,Shan,MMR014D001,Taunggyi,MMR014008,Lawksawk,130649,7607,10153,1323,39616,29468,1261,144,16776,14578,5517,685,3521
MMR222,Shan,MMR014D001,Taunggyi,MMR014009,Pinlaung,152966,3235,9720,1117,56527,42274,1490,332,20908,6852,6143,932,3436
MMR222,Shan,MMR014D001,Taunggyi,MMR014010,Pekon,76923,2294,4022,1733,27255,18472,770,63,14190,4490,2037,407,1190
MMR222,Shan,MMR014D002,Loilen,MMR014011,Loilen,96649,3154,5552,711,31369,23472,1517,279,12476,9249,5106,578,3186
MMR222,Shan,MMR014D002,Loilen,MMR014012,Laihka,39857,917,1474,332,14853,7252,1080,262,4105,5902,2111,193,1376
MMR222,Shan,MMR014D002,Loilen,MMR014013,Nansang,91994,4892,6394,1588,26841,22703,882,374,9813,12417,3068,288,2734
MMR222,Shan,MMR014D002,Loilen,MMR014014,Kunhing,43420,2198,1791,503,15023,10002,561,253,3265,5620,2383,234,1587
MMR222,Shan,MMR014D002,Loilen,MMR014015,Kyethi,57741,1662,1906,744,18589,16935,539,168,4633,7903,2209,269,2184
MMR222,Shan,MMR014D002,Loilen,MMR014016,Mongkaing,57790,632,2660,780,18249,10726,488,299,4505,12850,3558,324,2719
MMR222,Shan,MMR014D002,Loilen,MMR014017,Monghsu,57454,933,6360,318,20429,13377,291,125,6134,5806,1656,219,1806
MMR222,Shan,MMR014D003,Langkho,MMR014018,Langkho,34350,1642,3109,1319,12052,4630,380,248,2615,4391,2318,341,1305
MMR222,Shan,MMR014D003,Langkho,MMR014019,Mongnai,31606,2012,2059,480,9697,5047,411,113,2900,5183,1654,214,1836
MMR222,Shan,MMR014D003,Langkho,MMR014020,Mawkmai,25499,599,1145,309,10920,6442,202,34,2139,1848,1043,141,677
MMR222,Shan,MMR014D003,Langkho,MMR014021,Mongpan,21458,1771,2418,206,7548,2660,446,230,1923,2350,908,104,894
MMR222,Shan,MMR015D001,Lashio,MMR015001,Lashio,261728,10358,36640,3308,68953,22130,4488,1378,43102,43874,16784,1725,8988
MMR222,Shan,MMR015D001,Lashio,MMR015002,Hseni,44671,2013,3252,781,13309,7556,498,87,5605,6842,2707,234,1787
MMR222,Shan,MMR015D001,Lashio,MMR015003,Mongyai,46942,1098,1226,330,16603,11107,402,148,3282,7879,2042,274,2551
MMR222,Shan,MMR015D001,Lashio,MMR015004,Tangyan,133225,2100,9813,1872,41951,30019,1901,909,10503,20092,6530,617,6918
MMR222,Shan,MMR015D002,Muse,MMR015009,Muse,140839,2785,27864,2754,39019,27275,2537,1013,17944,8424,7003,593,3628
MMR222,Shan,MMR015D002,Muse,MMR015010,Namhkan,85159,1546,11729,1221,18048,23896,1166,200,13439,7219,4604,598,1493
MMR222,Shan,MMR015D002,Muse,MMR015011,Kutkai,132853,2681,6197,1464,36632,16253,5245,1273,25125,26239,8378,725,2641
MMR222,Shan,MMR015D003,Kyaukme,MMR015012,Kyaukme,138278,3524,19435,3997,43613,22152,1214,565,16946,13564,7949,888,4431
MMR222,Shan,MMR015D003,Kyaukme,MMR015013,Nawnghkio,121966,2655,17411,3256,35521,27387,1179,182,13597,11543,5927,795,2513
MMR222,Shan,MMR015D003,Kyaukme,MMR015014,Hsipaw,141352,3404,12546,2468,44076,36476,1184,330,13384,16156,6668,719,3941
MMR222,Shan,MMR015D003,Kyaukme,MMR015015,Namtu,39504,1248,2827,568,11532,7631,911,143,5629,4908,2453,277,1377
MMR222,Shan,MMR015D003,Kyaukme,MMR015016,Namhsan,56167,909,6721,1733,17219,14218,302,131,8141,2652,2445,477,1219
MMR222,Shan,MMR015D003,Kyaukme,MMR015017,Mongmit,50823,2243,6856,707,13684,5161,1597,209,6334,9133,3219,314,1366
MMR222,Shan,MMR015D003,Kyaukme,MMR015018,Mabein,38580,929,4321,1199,11280,5394,944,70,5051,6766,1739,234,653
MMR222,Shan,MMR015D003,Kyaukme,MMR015019,Manton,28255,542,839,270,9816,7482,392,122,4182,2039,1103,193,1275
MMR222,Shan,MMR015D004,Kunlong,MMR015020,Kunlong,43901,1338,3413,309,12545,11481,489,273,5293,5388,2119,295,958
MMR222,Shan,MMR015D005,Laukkaing,MMR015022,Laukkaing,74236,2942,10196,1635,17448,9690,1675,545,10667,11756,3823,339,3520
MMR222,Shan,MMR015D005,Laukkaing,MMR015023,Konkyan,45657,444,1661,292,12749,16622,1145,217,5199,4168,2351,298,511
MMR222,Shan,MMR015D006,Hopang,MMR015021,Hopang,46466,1062,5909,527,17266,6086,714,224,5641,5170,2552,263,1052
MMR222,Shan,MMR015D006,Hopang,MMR015008,Mongmao,52240,365,804,724,25025,7986,1132,188,6344,3886,3024,115,2647
MMR222,Shan,MMR015D006,Hopang,MMR015007,Pangwaun,71943,89,282,1394,35665,10522,1588,398,9605,5255,2960,381,3804
MMR222,Shan,MMR015D007,Matman,MMR015024,Matman,13799,465,346,98,3470,5427,61,133,890,1825,598,60,426
MMR222,Shan,MMR015D007,Matman,MMR015005,Pangsang,81011,1154,16449,1792,22276,14430,1197,884,7274,8889,3470,303,2893
MMR222,Shan,MMR015D007,Matman,MMR015006,Narphan,86025,326,2612,820,36339,16488,2414,928,8427,7157,4506,396,5612
MMR222,Shan,MMR016D001,Kengtung,MMR016001,Kengtung,136874,7599,11249,1678,35621,26895,1955,420,17375,20197,6229,685,6971
MMR222,Shan,MMR016D001,Kengtung,MMR016002,Mongkhet,33997,902,493,170,11219,7864,306,650,1506,6430,1984,103,2370
MMR222,Shan,MMR016D001,Kengtung,MMR016003,Mongyang,84529,680,4194,3064,23299,27688,1188,459,7496,8867,4327,275,2992
MMR222,Shan,MMR016D001,Kengtung,MMR016005,Mongla,37058,151,11578,695,7548,7831,723,527,1815,3454,1180,69,1487
MMR222,Shan,MMR016D002,Monghsat,MMR016006,Monghsat,75472,3138,13781,561,20296,10437,632,693,9090,11451,2333,350,2710
MMR222,Shan,MMR016D002,Monghsat,MMR016007,Mongping,50745,1376,1711,218,16834,15592,632,158,3126,6844,2038,223,1993
MMR222,Shan,MMR016D002,Monghsat,MMR016008,Mongton,53308,1872,10159,374,17629,6683,686,418,5886,6654,1659,295,993
MMR222,Shan,MMR016D003,Tachileik,MMR016009,Tachileik,144784,3677,30700,2373,38503,15677,2821,1159,15425,21082,6978,675,5714
MMR222,Shan,MMR016D004,Monghpyak,MMR016010,Monghpyak,23108,1959,1309,179,6938,4591,269,247,2207,3491,1094,68,756
MMR222,Shan,MMR016D004,Monghpyak,MMR016011,Mongyawng,65051,1520,3346,750,24124,17313,736,293,5235,6092,3725,389,1528
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017002,Kangyidaunt,143214,2434,29995,9542,21169,11708,2681,400,18397,31600,5647,1538,8103
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017007,Kyaunggon,132969,2054,34902,8710,20079,11529,1910,263,16443,26267,5814,1413,3585
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017005,Kyonpyaw,191047,3182,40602,9980,29943,14991,3694,371,25326,41932,9588,1968,9470
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017004,Ngapudaw,258893,4738,47321,9362,50237,17919,7261,1246,34117,63990,12840,2336,7526
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017001,Pathein,318371,16056,65406,8064,57052,13972,6772,960,41873,68859,17568,2634,19155
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017006,Yegyi,160014,3180,26808,9668,24841,9107,3561,484,19944,41707,8792,1421,10501
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017003,Thabaung,122899,3776,21683,7335,20085,10956,2264,374,17249,27236,4772,1063,6106
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017025,Kyaiklat,154195,2323,28486,5623,29165,13437,2514,388,20669,31560,7224,1507,11299
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017026,Dedaye,162226,2484,33010,8213,27534,9942,3178,550,23046,40560,7404,1548,4757
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017023,Pyapon,246565,4164,50749,6852,39934,11438,5071,1175,36002,61811,11122,2540,15707
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,251507,3817,44372,10602,46009,20680,4060,666,36390,53309,10249,2689,18664
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017021,Nyaungdon,175262,3256,32666,3854,44647,15373,1873,421,21458,33821,8980,1760,7153
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017022,Danubyu,147329,2751,26439,4059,27871,8759,2373,242,17461,33370,8747,1528,13729
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017020,Pantanaw,213376,2707,28787,7624,62007,26619,5957,479,25334,30130,9772,1819,12141
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017019,Maubin,252214,5403,49444,12161,51783,23560,3752,506,37020,46130,12359,2162,7934
MMR017,Ayeyarwady,MMR017D003,Myaungmya,MMR017014,Myaungmya,240102,5561,46777,9004,45654,17053,4987,770,33088,50714,12872,2383,11239
MMR017,Ayeyarwady,MMR017D003,Myaungmya,MMR017017,Wakema,231887,3706,40862,12554,50211,21558,5215,987,30818,42401,12296,2194,9085
MMR017,Ayeyarwady,MMR017D003,Myaungmya,MMR017015,Einme,155510,2449,29209,7930,27822,11639,2166,558,20501,36705,7117,1418,7996
MMR017,Ayeyarwady,MMR017D004,Labutta,MMR017018,Mawlamyinegyun,247168,3298,47276,10073,51739,19948,3841,538,32278,45476,11711,3087,17903
MMR017,Ayeyarwady,MMR017D004,Labutta,MMR017016,Labutta,243929,3302,37433,10474,56406,17057,5370,941,30968,59272,9151,2330,11225
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017012,Kyangin,82447,3119,12680,2155,19705,5688,2072,250,7174,18059,5625,610,5310
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017009,Zalun,137347,2260,29554,7836,26427,12366,1528,289,16902,24878,7508,1412,6387
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017011,Myanaung,183010,3924,43927,9601,40536,16607,3150,306,20008,28744,10880,1883,3444
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017010,Lemyethna,84264,1613,17146,4862,14094,5799,1670,247,10910,19462,4708,745,3008
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017008,Hinthada,281350,7533,51992,17201,60055,21854,5636,834,35797,51653,17834,2891,8070
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017013,Ingapu,177589,3561,24368,5980,38183,11382,5851,404,20011,37423,11021,1731,17674
MMR018,Nay Pyi Taw,MMR018D001,Nay Pyi Taw (North),MMR018003,Tatkon,177910,7552,29896,4256,39766,25990,1818,208,24733,27922,8851,1118,5800
MMR018,Nay Pyi Taw,MMR018D001,Nay Pyi Taw (North),MMR018001,Zay Yar Thi Ri,89610,14743,15865,889,10589,4349,1751,149,13755,17914,3787,348,5471
MMR018,Nay Pyi Taw,MMR018D001,Nay Pyi Taw (North),MMR018008,Oke Ta Ra Thi Ri,65007,4583,18232,1202,10623,4282,604,245,8845,11908,2301,267,1915
MMR018,Nay Pyi Taw,MMR018D001,Nay Pyi Taw (North),MMR018005,Poke Ba Thi Ri,93292,9149,20343,1824,12201,2687,4414,396,13620,20753,4658,466,2781
MMR018,Nay Pyi Taw,MMR018D002,Nay Pyi Taw (South),MMR018006,Pyinmana,153639,7604,31178,3351,32711,6623,3654,643,22149,29487,8930,1061,6248
MMR018,Nay Pyi Taw,MMR018D002,Nay Pyi Taw (South),MMR018007,Lewe,226685,7845,53558,9017,48380,22895,2644,385,34607,32333,9377,1626,4018
MMR018,Nay Pyi Taw,MMR018D002,Nay Pyi Taw (South),MMR018002,Za Bu Thi Ri,95053,34562,17327,927,6748,1429,1589,239,9875,13919,3525,288,4625
MMR018,Nay Pyi Taw,MMR018D002,Nay Pyi Taw (South),MMR018004,Det Khi Na Thi Ri,42581,965,18739,672,3980,2502,345,83,5213,7039,1203,157,1683
