pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,hh_t,hh_m,hh_f,pop_hh,pop_ins,popdisab_notdisab_t,popdisab_anydiab_t,disabtype_see_t,disabtype_hear_t,disabtype_walk_t,disabtype_rmbr_t,popdisab_notdisab_m,popdisab_anydiab_m,disabtype_see_m,disabtype_hear_m,disabtype_walk_m,disabtype_rmbr_m,popdisab_notdisab_f,popdisab_anydiab_f,disabtype_see_f,disabtype_hear_f,disabtype_walk_f,disabtype_rmbr_f
MMR003,Kayin,MMR003D003,Kawkareik,MMR003007,Kyainseikgyi,50568,41279,9289,246809,8040,236680,18169,10659,5465,7089,7267,116687,8999,5005,2655,3489,3436,119993,9170,5654,2810,3600,3831
MMR004,Chin,MMR004D003,Hakha,MMR004002,Hakha,9917,7554,2363,46519,1833,45221,3131,1571,1471,1452,2095,21604,1418,656,643,631,904,23617,1713,915,828,821,1191
MMR004,Chin,MMR004D003,Hakha,MMR004003,Thantlang,9782,8060,1722,49949,425,47323,3051,1417,1430,1294,1485,22940,1439,595,689,599,637,24383,1612,822,741,695,848
MMR004,Chin,MMR004D001,Falam,MMR004001,Falam,9626,6978,2648,46387,1690,43079,4998,2953,2248,1950,2171,21334,2289,1271,1049,836,962,21745,2709,1682,1199,1114,1209
MMR004,Chin,MMR004D001,Falam,MMR004004,Tedim,14683,10740,3943,86855,768,81276,6347,3052,2750,2549,3057,39028,2899,1303,1287,1074,1306,42248,3448,1749,1463,1475,1751
MMR004,Chin,MMR004D001,Falam,MMR004005,Tonzang,4941,3948,993,31327,551,30078,1800,919,845,701,647,14824,868,423,402,328,280,15254,932,496,443,373,367
MMR004,Chin,MMR004D002,Mindat,MMR004006,Mindat,8522,6154,2368,41561,1039,39205,3395,1850,1672,1487,1684,18092,1635,843,778,681,782,21113,1760,1007,894,806,902
MMR004,Chin,MMR004D002,Mindat,MMR004007,Matupi,10157,7742,2415,50520,831,45975,5376,3041,2121,2391,2886,21688,2463,1338,960,1041,1266,24287,2913,1703,1161,1350,1620
MMR004,Chin,MMR004D002,Mindat,MMR004008,Kanpetlet,3977,3130,847,20726,767,19301,2192,1292,975,1025,960,9257,1056,595,476,446,410,10044,1136,697,499,579,550
MMR004,Chin,MMR004D002,Mindat,MMR004009,Paletwa,19516,15985,3531,95265,1788,91674,5379,2701,2238,2490,2389,44201,2569,1259,1030,1140,1056,47473,2810,1442,1208,1350,1333
