pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,hh_t,hh_m,hh_f,pop_hh,pop_ins,popdisab_notdisab_t,popdisab_anydiab_t,disabtype_see_t,disabtype_hear_t,disabtype_walk_t,disabtype_rmbr_t,popdisab_notdisab_m,popdisab_anydiab_m,disabtype_see_m,disabtype_hear_m,disabtype_walk_m,disabtype_rmbr_m,popdisab_notdisab_f,popdisab_anydiab_f,disabtype_see_f,disabtype_hear_f,disabtype_walk_f,disabtype_rmbr_f
MMR009,Magway,MMR009D002,Minbu,MMR009008,Pwintbyu,39764,31040,8724,159885,3807,156418,7274,3950,1957,2803,1853,73571,3169,1589,776,1285,806,82847,4105,2361,1181,1518,1047
MMR009,Magway,MMR009D002,Minbu,MMR009009,Ngape,12457,9978,2479,50336,1806,50804,1338,546,489,572,497,24463,612,210,194,260,229,26341,726,336,295,312,268
MMR009,Magway,MMR009D002,Minbu,MMR009010,Salin,55605,42523,13082,232255,3778,226338,9695,5515,2897,4088,2665,104566,4159,2258,1091,1723,1141,121772,5536,3257,1806,2365,1524
MMR009,Magway,MMR009D002,Minbu,MMR009011,Sidoktaya,10780,8532,2248,45547,1979,44680,2846,1268,1133,1306,1123,22073,1265,527,469,555,490,22607,1581,741,664,751,633
MMR009,Magway,MMR009D003,Thayet,MMR009012,Thayet,25972,20084,5888,99610,4737,99961,4386,2098,1338,2203,1450,47446,1939,848,528,961,619,52515,2447,1250,810,1242,831
MMR009,Magway,MMR009D003,Thayet,MMR009013,Minhla,31622,26495,5127,123467,22615,140940,5142,2905,1617,1978,1625,70866,2267,1199,669,826,718,70074,2875,1706,948,1152,907
MMR009,Magway,MMR009D003,Thayet,MMR009014,Mindon,16809,13394,3415,58393,964,55147,4210,2162,1344,1631,1191,26088,1873,901,581,710,513,29059,2337,1261,763,921,678
MMR009,Magway,MMR009D003,Thayet,MMR009015,Kamma,19143,15777,3366,73772,1423,67558,7637,4945,2241,3503,2608,32362,3492,2237,969,1491,1117,35196,4145,2708,1272,2012,1491
MMR009,Magway,MMR009D003,Thayet,MMR009016,Aunglan,57609,45664,11945,230326,4896,215390,19832,13197,5536,8509,7045,102988,8777,5691,2204,3564,3003,112402,11055,7506,3332,4945,4042
MMR009,Magway,MMR009D003,Thayet,MMR009017,Sinbaungwe,28684,23195,5489,115123,2721,109156,8688,5332,2701,3997,3220,52030,3759,2243,1065,1626,1307,57126,4929,3089,1636,2371,1913
MMR009,Magway,MMR009D004,Pakokku,MMR009018,Pakokku,66340,45441,20899,280957,9182,276044,14095,7607,3823,5642,4090,124804,5937,3013,1438,2435,1752,151240,8158,4594,2385,3207,2338
MMR009,Magway,MMR009D004,Pakokku,MMR009019,Yesagyo,47332,32014,15318,211667,3685,204870,10482,5716,2642,4391,3049,89963,4390,2207,956,1874,1319,114907,6092,3509,1686,2517,1730
MMR009,Magway,MMR009D004,Pakokku,MMR009020,Myaing,53641,38876,14765,221463,4308,214279,11492,5898,3147,4651,3185,96055,4799,2314,1160,1969,1368,118224,6693,3584,1987,2682,1817
MMR009,Magway,MMR009D004,Pakokku,MMR009021,Pauk,38965,28984,9981,168662,2852,159588,11926,6656,3400,4710,4095,73901,5129,2733,1339,2039,1733,85687,6797,3923,2061,2671,2362
MMR009,Magway,MMR009D004,Pakokku,MMR009022,Seikphyu,23427,17143,6284,99503,3266,97937,4832,2395,1430,1862,1605,44836,2073,954,543,776,691,53101,2759,1441,887,1086,914
MMR009,Magway,MMR009D005,Gangaw,MMR009023,Gangaw,29912,23423,6489,128815,4480,128083,5212,1878,1823,2550,2154,60942,2478,863,790,1165,972,67141,2734,1015,1033,1385,1182
MMR009,Magway,MMR009D005,Gangaw,MMR009024,Tilin,10532,7805,2727,47694,1172,46302,2564,1029,967,1275,1017,21727,1132,435,427,539,438,24575,1432,594,540,736,579
MMR009,Magway,MMR009D005,Gangaw,MMR009025,Saw,15934,12052,3882,66641,2056,62149,6548,2967,2010,2735,2489,29506,3040,1311,916,1198,1143,32643,3508,1656,1094,1537,1346
MMR010,Mandalay,MMR010D001,Mandalay,MMR010001,Aungmyaythazan,49731,36299,13432,241519,24260,256345,9434,6207,1674,3075,1923,125694,4265,2672,716,1346,933,130651,5169,3535,958,1729,990
MMR010,Mandalay,MMR010D001,Mandalay,MMR010002,Chanayethazan,33281,23252,10029,160131,37044,193555,3620,1379,909,1756,1232,91620,1625,598,383,790,581,101935,1995,781,526,966,651
MMR010,Mandalay,MMR010D001,Mandalay,MMR010003,Mahaaungmyay,41927,30302,11625,217725,23388,236878,4235,2107,943,1719,1150,114935,1968,949,415,783,567,121943,2267,1158,528,936,583
MMR010,Mandalay,MMR010D001,Mandalay,MMR010004,Chanmyathazi,53047,40491,12556,267247,16534,278147,5634,2503,1261,2374,1639,134969,2559,1055,545,1117,761,143178,3075,1448,716,1257,878
MMR010,Mandalay,MMR010D001,Mandalay,MMR010005,Pyigyitagon,43875,35050,8825,219454,18244,233938,3760,1582,798,1432,1395,119073,1721,617,327,728,639,114865,2039,965,471,704,756
MMR010,Mandalay,MMR010D001,Mandalay,MMR010006,Amarapura,49626,29295,20331,224121,13497,230933,6685,3101,1442,2817,1929,111653,2828,1193,544,1215,803,119280,3857,1908,898,1602,1126
MMR010,Mandalay,MMR010D001,Mandalay,MMR010007,Patheingyi,52990,27337,25653,247240,16485,254908,8817,4907,1976,3297,2671,125150,3854,2012,795,1527,1104,129758,4963,2895,1181,1770,1567
MMR010,Mandalay,MMR010D002,Pyinoolwin,MMR010008,Pyinoolwin,53382,41312,12070,229770,25738,250174,5334,2633,1334,2190,1454,125352,2675,1229,614,1128,713,124822,2659,1404,720,1062,741
MMR010,Mandalay,MMR010D002,Pyinoolwin,MMR010009,Madaya,58645,46508,12137,251757,6244,251480,6521,3005,1681,2888,2187,119959,2920,1239,678,1295,948,131521,3601,1766,1003,1593,1239
MMR010,Mandalay,MMR010D002,Pyinoolwin,MMR010010,Singu,34533,28444,6089,153877,3708,151686,5899,3356,1394,2300,2097,74077,2697,1460,573,1043,928,77609,3202,1896,821,1257,1169
MMR010,Mandalay,MMR010D002,Pyinoolwin,MMR010011,Mogoke,35247,25235,10012,156953,10196,161403,5746,2810,1559,1867,1473,82129,2763,1294,686,958,725,79274,2983,1516,873,909,748
MMR010,Mandalay,MMR010D002,Pyinoolwin,MMR010012,Thabeikkyin,33141,27843,5298,151500,12202,160900,2802,1061,676,1280,852,81955,1273,467,306,541,397,78945,1529,594,370,739,455
MMR010,Mandalay,MMR010D003,Kyaukse,MMR010013,Kyaukse,57765,45541,12224,248232,9675,252039,5868,2976,1464,2261,1616,121923,2616,1243,594,1012,699,130116,3252,1733,870,1249,917
MMR010,Mandalay,MMR010D003,Kyaukse,MMR010014,Sintgaing,33579,24965,8614,141835,7083,144859,4059,2177,862,1519,1150,69431,1730,857,320,642,484,75428,2329,1320,542,877,666
MMR010,Mandalay,MMR010D003,Kyaukse,MMR010015,Myittha,46017,37029,8988,191736,3893,189510,6119,3230,1614,2420,1694,89928,2744,1355,625,1109,767,99582,3375,1875,989,1311,927
MMR010,Mandalay,MMR010D003,Kyaukse,MMR010016,Tada-U,32627,24865,7762,135085,3532,134181,4436,2077,1082,1834,1560,62872,1882,828,402,794,675,71309,2554,1249,680,1040,885
MMR010,Mandalay,MMR010D004,Myingyan,MMR010017,Myingyan,62340,45081,17259,267917,8179,257885,18211,11802,4588,6997,5668,116376,7724,4843,1776,2856,2401,141509,10487,6959,2812,4141,3267
MMR010,Mandalay,MMR010D004,Myingyan,MMR010018,Taungtha,49852,36367,13485,213483,3159,207148,9494,4931,2863,4146,2948,93071,4090,1996,1092,1848,1276,114077,5404,2935,1771,2298,1672
MMR010,Mandalay,MMR010D004,Myingyan,MMR010019,Natogyi,40965,31021,9944,174291,2787,169046,8032,4517,2395,3827,2526,77528,3320,1726,903,1586,1033,91518,4712,2791,1492,2241,1493
MMR010,Mandalay,MMR010D004,Myingyan,MMR010020,Kyaukpadaung,61961,44263,17698,256214,5694,256967,4941,1892,1600,2287,1775,114424,2201,734,615,1086,783,142543,2740,1158,985,1201,992
MMR010,Mandalay,MMR010D004,Myingyan,MMR010021,Ngazun,27838,21710,6128,121590,2643,117024,7209,4628,1993,2831,1982,53692,2977,1836,726,1134,800,63332,4232,2792,1267,1697,1182
MMR010,Mandalay,MMR010D005,Nyaung-U,MMR010022,Nyaung-U,54473,40392,14081,232189,7758,228374,11573,6259,3367,4049,3443,104654,4822,2448,1174,1726,1411,123720,6751,3811,2193,2323,2032
MMR010,Mandalay,MMR010D006,Yamethin,MMR010023,Yamethin,57259,44807,12452,237145,20946,243438,14653,7951,3903,6555,5399,118930,6438,3400,1558,2740,2276,124508,8215,4551,2345,3815,3123
MMR010,Mandalay,MMR010D006,Yamethin,MMR010024,Pyawbwe,58863,44566,14297,254433,5860,248976,11317,4247,2682,6407,4413,114322,4913,1709,1053,2768,1905,134654,6404,2538,1629,3639,2508
MMR010,Mandalay,MMR010D007,Meiktila,MMR010028,Meiktila,68439,48510,19929,291498,18165,299990,9673,4185,2682,4281,3002,138598,4189,1685,1034,1923,1273,161392,5484,2500,1648,2358,1729
MMR010,Mandalay,MMR010D007,Meiktila,MMR010029,Mahlaing,33327,23525,9802,136355,3072,133284,6143,2836,1673,3019,2168,61054,2527,1104,608,1260,858,72230,3616,1732,1065,1759,1310
MMR010,Mandalay,MMR010D007,Meiktila,MMR010030,Thazi,44892,34598,10294,195014,7666,196170,6510,3064,1929,2990,2413,92492,2971,1325,798,1349,1091,103678,3539,1739,1131,1641,1322
MMR010,Mandalay,MMR010D007,Meiktila,MMR010031,Wundwin,53569,42673,10896,225113,4647,222157,7603,3603,1956,3156,2571,102827,3387,1500,812,1394,1126,119330,4216,2103,1144,1762,1445
MMR011,Mon,MMR011D001,Mawlamyine,MMR011001,Mawlamyine,57457,39309,18148,269916,19472,278955,10433,5100,2895,4733,3661,134509,4517,1960,1172,2021,1556,144446,5916,3140,1723,2712,2105
MMR011,Mon,MMR011D001,Mawlamyine,MMR011002,Kyaikmaraw,38888,27596,11292,184488,11322,184512,11298,5941,3249,4364,3738,87677,5069,2462,1367,1976,1672,96835,6229,3479,1882,2388,2066
MMR011,Mon,MMR011D001,Mawlamyine,MMR011003,Chaungzon,27944,18307,9637,119874,2252,114709,7417,3992,2123,3314,2367,52403,3193,1575,872,1417,1085,62306,4224,2417,1251,1897,1282
MMR011,Mon,MMR011D001,Mawlamyine,MMR011004,Thanbyuzayat,36234,26763,9471,162386,8150,158537,11999,7905,2855,4172,3347,76080,5369,3334,1275,1815,1539,82457,6630,4571,1580,2357,1808
MMR011,Mon,MMR011D001,Mawlamyine,MMR011005,Mudon,39312,28478,10834,179517,11220,183767,6970,3326,1943,2747,2188,86694,3282,1432,876,1303,1110,97073,3688,1894,1067,1444,1078
MMR011,Mon,MMR011D001,Mawlamyine,MMR011006,Ye,53448,40599,12849,252444,11180,244031,19593,12317,5051,7724,5354,119850,9033,5465,2359,3541,2467,124181,10560,6852,2692,4183,2887
MMR011,Mon,MMR011D002,Thaton,MMR011007,Thaton,48284,33596,14688,228090,10016,227714,10392,5263,3089,4502,3801,111612,4782,2181,1392,2119,1762,116102,5610,3082,1697,2383,2039
MMR011,Mon,MMR011D002,Thaton,MMR011008,Paung,43726,30421,13305,211821,6638,207543,10916,5914,3352,4367,3978,100222,5149,2529,1551,2123,1909,107321,5767,3385,1801,2244,2069
MMR011,Mon,MMR011D002,Thaton,MMR011009,Kyaikto,38088,28176,9912,167264,17268,173460,11072,6825,2811,4322,3303,84971,5060,2893,1240,2015,1443,88489,6012,3932,1571,2307,1860
MMR011,Mon,MMR011D002,Thaton,MMR011010,Bilin,39231,29057,10174,174021,7054,171867,9208,4275,2508,3411,4016,83595,4325,1809,1165,1658,1843,88272,4883,2466,1343,1753,2173
MMR012,Rakhine,MMR012D001,Sittwe,MMR012001,Sittwe,29036,18383,10653,139673,8226,143762,4137,2040,1241,2107,1644,68637,1833,800,521,946,741,75125,2304,1240,720,1161,903
MMR012,Rakhine,MMR012D001,Sittwe,MMR012002,Ponnagyun,25335,19050,6285,127640,2113,126409,3344,1596,1294,1485,1589,58433,1546,681,549,671,717,67976,1798,915,745,814,872
MMR012,Rakhine,MMR012D001,Sittwe,MMR012007,Pauktaw,30544,23703,6841,143601,2356,143013,2944,1348,1091,1292,1229,66859,1336,591,469,590,540,76154,1608,757,622,702,689
MMR012,Rakhine,MMR012D001,Sittwe,MMR012008,Rathedaung,24341,15161,9180,109989,1985,102260,9714,5468,3430,4930,5827,45906,4120,2233,1313,2033,2380,56354,5594,3235,2117,2897,3447
MMR012,Rakhine,MMR012D005,Mrauk-U,MMR012003,Mrauk-U,41525,31260,10265,186551,3079,176650,12980,7655,4764,5559,6224,81830,5844,3304,1976,2431,2680,94820,7136,4351,2788,3128,3544
MMR012,Rakhine,MMR012D005,Mrauk-U,MMR012004,Kyauktaw,36495,26629,9866,170787,2313,163389,9711,6086,3698,3997,4328,73703,4338,2576,1549,1729,1877,89686,5373,3510,2149,2268,2451
MMR012,Rakhine,MMR012D005,Mrauk-U,MMR012005,Minbya,36628,28326,8302,165769,3439,158958,10250,6608,3902,4343,4647,74234,4641,2889,1658,1892,2004,84724,5609,3719,2244,2451,2643
MMR012,Rakhine,MMR012D005,Mrauk-U,MMR012006,Myebon,31339,26101,5238,134892,2301,128525,8668,5198,2783,3857,4035,61393,3966,2335,1159,1709,1722,67132,4702,2863,1624,2148,2313
MMR012,Rakhine,MMR012D002,Maungdaw,MMR012009,Maungdaw,7896,5974,1922,37548,3237,38620,2165,1189,664,833,957,20048,1050,555,303,398,464,18572,1115,634,361,435,493
MMR012,Rakhine,MMR012D002,Maungdaw,MMR012010,Buthidaung,11264,8804,2460,52056,3489,52111,3434,1715,1184,1544,1889,26012,1706,802,548,748,895,26099,1728,913,636,796,994
MMR012,Rakhine,MMR012D003,Kyaukpyu,MMR012011,Kyaukpyu,37264,29308,7956,155649,9703,155905,9447,5579,3757,4455,5140,74651,4111,2300,1559,1889,2212,81254,5336,3279,2198,2566,2928
MMR012,Rakhine,MMR012D003,Kyaukpyu,MMR012012,Munaung,14735,11080,3655,56013,953,51513,5453,3439,2133,2898,3294,22676,2281,1371,828,1180,1351,28837,3172,2068,1305,1718,1943
MMR012,Rakhine,MMR012D003,Kyaukpyu,MMR012013,Ramree,22418,17244,5174,95348,2543,92368,5523,3268,2036,2602,2781,42397,2369,1339,805,1072,1170,49971,3154,1929,1231,1530,1611
MMR012,Rakhine,MMR012D003,Kyaukpyu,MMR012014,Ann,27359,23240,4119,115558,4156,112238,7476,4657,2750,3176,3910,55364,3459,2149,1209,1396,1712,56874,4017,2508,1541,1780,2198
MMR012,Rakhine,MMR012D004,Thandwe,MMR012015,Thandwe,31075,25044,6031,124773,8711,127609,5875,3325,1850,2292,2140,62439,2683,1435,792,1001,962,65170,3192,1890,1058,1291,1178
MMR012,Rakhine,MMR012D004,Thandwe,MMR012016,Toungup,35192,28948,6244,153721,4620,151023,7318,4181,2663,2926,3308,73822,3435,1842,1225,1317,1495,77201,3883,2339,1438,1609,1813
MMR012,Rakhine,MMR012D004,Thandwe,MMR012017,Gwa,17326,14698,2628,64580,1435,62275,3740,2224,1420,1684,1608,30812,1768,1003,620,800,722,31463,1972,1221,800,884,886
MMR013,Yangon,MMR013D001,Yangon (North),MMR013001,Insein,61676,45309,16367,278986,26297,296821,8462,3357,2208,4103,3042,141989,4169,1465,1015,2054,1644,154832,4293,1892,1193,2049,1398
MMR013,Yangon,MMR013D001,Yangon (North),MMR013002,Mingaladon,66303,50443,15860,291904,39682,320116,11470,6316,2715,5063,3453,152813,5446,2689,1168,2497,1787,167303,6024,3627,1547,2566,1666
MMR013,Yangon,MMR013D001,Yangon (North),MMR013003,Hmawbi,56469,45464,11005,231073,13534,233081,11526,6970,2812,4284,3307,115448,5483,3103,1258,2062,1566,117633,6043,3867,1554,2222,1741
MMR013,Yangon,MMR013D001,Yangon (North),MMR013004,Hlegu,58023,45336,12687,247452,23289,257832,12909,7458,3335,4901,4174,127772,6315,3439,1531,2418,2007,130060,6594,4019,1804,2483,2167
MMR013,Yangon,MMR013D001,Yangon (North),MMR013005,Taikkyi,66999,53817,13182,271120,6148,266790,10478,5781,3172,4198,3830,129940,4774,2502,1365,1853,1698,136850,5704,3279,1807,2345,2132
MMR013,Yangon,MMR013D001,Yangon (North),MMR013006,Htantabin,34211,28678,5533,143791,2001,140788,5004,2919,1345,1987,1557,69459,2348,1291,603,935,709,71329,2656,1628,742,1052,848
MMR013,Yangon,MMR013D001,Yangon (North),MMR013007,Shwepyithar,73775,56790,16985,328740,14786,335682,7844,3338,1943,3374,2560,160642,3622,1365,834,1610,1272,175040,4222,1973,1109,1764,1288
MMR013,Yangon,MMR013D001,Yangon (North),MMR013008,Hlaingtharya,148711,118386,30325,663463,24404,672108,15759,7593,3625,6437,4825,315594,7268,3076,1531,3176,2337,356514,8491,4517,2094,3261,2488
MMR013,Yangon,MMR013D002,Yangon (East),MMR013009,Thingangyun,43320,30120,13200,201316,8170,203787,5699,2236,1523,2700,1921,96159,2539,870,641,1194,921,107628,3160,1366,882,1506,1000
MMR013,Yangon,MMR013D002,Yangon (East),MMR013010,Yankin,14637,9596,5041,66792,4154,68981,1965,690,513,1122,590,31905,819,284,198,439,257,37076,1146,406,315,683,333
MMR013,Yangon,MMR013D002,Yangon (East),MMR013011,South Okkalapa,32725,22904,9821,153687,7439,156756,4370,1960,1263,2104,1288,73692,1855,792,523,883,573,83064,2515,1168,740,1221,715
MMR013,Yangon,MMR013D002,Yangon (East),MMR013012,North Okkalapa,64756,47111,17645,313240,20053,322851,10442,4845,2620,4881,2935,151749,4591,1934,1085,2155,1401,171102,5851,2911,1535,2726,1534
MMR013,Yangon,MMR013D002,Yangon (East),MMR013013,Thaketa,45456,32313,13143,212290,8266,212892,7664,3892,1962,3443,2202,103972,3318,1518,813,1465,1005,108920,4346,2374,1149,1978,1197
MMR013,Yangon,MMR013D002,Yangon (East),MMR013014,Dawbon,14409,10303,4106,72683,2642,72822,2503,1297,656,1073,781,35594,1151,561,293,504,380,37228,1352,736,363,569,401
MMR013,Yangon,MMR013D002,Yangon (East),MMR013015,Tamwe,35360,23978,11382,156340,8973,160775,4538,2183,1266,2163,1367,72820,1842,786,473,852,591,87955,2696,1397,793,1311,776
MMR013,Yangon,MMR013D002,Yangon (East),MMR013016,Pazundaung,10306,6873,3433,45347,3108,46139,2316,1454,577,985,636,21143,988,599,248,382,271,24996,1328,855,329,603,365
MMR013,Yangon,MMR013D002,Yangon (East),MMR013017,Botahtaung,8397,5872,2525,36661,4334,39362,1633,851,433,702,474,18744,672,340,176,277,201,20618,961,511,257,425,273
MMR013,Yangon,MMR013D002,Yangon (East),MMR013018,Dagon Myothit (South),76984,59357,17627,358350,13296,357771,13875,7324,3139,5816,3799,174898,6242,3021,1335,2640,1724,182873,7633,4303,1804,3176,2075
MMR013,Yangon,MMR013D002,Yangon (East),MMR013019,Dagon Myothit (North),42704,31678,11026,200629,3319,197204,6744,2755,1929,3211,1877,93360,3028,1148,855,1417,905,103844,3716,1607,1074,1794,972
MMR013,Yangon,MMR013D002,Yangon (East),MMR013020,Dagon Myothit (East),33913,25590,8323,155258,10370,156485,9143,4886,2096,3669,2749,76729,4132,2058,910,1622,1273,79756,5011,2828,1186,2047,1476
MMR013,Yangon,MMR013D002,Yangon (East),MMR013021,Dagon Myothit (Seikkan),37905,30570,7335,159313,8135,161887,5561,2771,1273,2131,1652,80145,2552,1188,575,1019,791,81742,3009,1583,698,1112,861
MMR013,Yangon,MMR013D002,Yangon (East),MMR013022,Mingalartaungnyunt,25918,18179,7739,126134,6360,128088,4406,2001,1323,2174,1503,60672,1858,801,527,845,659,67416,2548,1200,796,1329,844
MMR013,Yangon,MMR013D003,Yangon (South),MMR013023,Thanlyin,61597,47125,14472,253923,14140,258919,9144,4531,1862,4024,3149,126407,4130,1839,785,1894,1466,132512,5014,2692,1077,2130,1683
MMR013,Yangon,MMR013D003,Yangon (South),MMR013024,Kyauktan,42469,34271,8198,162207,5241,162175,5273,2464,1272,2356,1835,78913,2543,1099,574,1140,908,83262,2730,1365,698,1216,927
MMR013,Yangon,MMR013D003,Yangon (South),MMR013025,Thongwa,40087,31932,8155,155573,2303,151826,6050,3095,1384,2765,1861,72705,2787,1340,609,1272,874,79121,3263,1755,775,1493,987
MMR013,Yangon,MMR013D003,Yangon (South),MMR013026,Kayan,39314,31430,7884,155989,2030,152268,5751,2772,1394,2557,1960,72847,2663,1199,568,1196,923,79421,3088,1573,826,1361,1037
MMR013,Yangon,MMR013D003,Yangon (South),MMR013027,Twantay,51602,41597,10005,221372,5464,218567,8269,4365,2028,3676,3053,107358,3893,1905,910,1734,1433,111209,4376,2460,1118,1942,1620
MMR013,Yangon,MMR013D003,Yangon (South),MMR013028,Kawhmu,29792,23744,6048,116415,2635,111365,7685,4761,1865,3124,2947,54756,3543,2101,814,1378,1354,56609,4142,2660,1051,1746,1593
MMR013,Yangon,MMR013D003,Yangon (South),MMR013029,Kungyangon,28352,22846,5506,109588,2044,104893,6739,3895,1606,2576,2551,51107,3000,1627,670,1156,1175,53786,3739,2268,936,1420,1376
MMR013,Yangon,MMR013D003,Yangon (South),MMR013030,Dala,37912,29502,8410,170363,2494,166201,6656,3574,1634,2972,2045,81619,3052,1479,692,1420,968,84582,3604,2095,942,1552,1077
MMR013,Yangon,MMR013D003,Yangon (South),MMR013031,Seikgyikanaungto,7729,5974,1755,33251,752,32447,1556,825,381,665,425,16379,689,322,166,297,175,16068,867,503,215,368,250
MMR013,Yangon,MMR013D003,Yangon (South),MMR013032,Cocokyun,351,323,28,1172,768,1760,180,140,34,24,13,1164,130,106,26,17,8,596,50,34,8,7,5
MMR013,Yangon,MMR013D004,Yangon (West),MMR013033,Kyauktada,6120,3779,2341,25754,4099,28495,1358,608,384,754,500,13216,561,254,153,272,212,15279,797,354,231,482,288
MMR013,Yangon,MMR013D004,Yangon (West),MMR013034,Pabedan,6563,4214,2349,31328,2008,32088,1248,407,331,742,520,14694,477,158,124,252,205,17394,771,249,207,490,315
MMR013,Yangon,MMR013D004,Yangon (West),MMR013035,Lanmadaw,8599,5418,3181,36302,10858,45644,1516,590,528,1034,622,19474,706,303,265,489,324,26170,810,287,263,545,298
MMR013,Yangon,MMR013D004,Yangon (West),MMR013036,Latha,4473,2679,1794,18161,6896,23870,1187,498,314,726,343,10212,516,203,120,316,153,13658,671,295,194,410,190
MMR013,Yangon,MMR013D004,Yangon (West),MMR013037,Ahlone,10943,7754,3189,48612,6870,54090,1392,484,432,807,470,24977,574,198,171,320,191,29113,818,286,261,487,279
MMR013,Yangon,MMR013D004,Yangon (West),MMR013038,Kyeemyindaing,23062,16841,6221,106702,4812,106366,5148,3188,988,1882,1021,50413,2214,1303,402,798,444,55953,2934,1885,586,1084,577
MMR013,Yangon,MMR013D004,Yangon (West),MMR013039,Sanchaung,20635,13417,7218,87228,12391,97309,2310,925,641,1193,745,42997,996,378,247,482,353,54312,1314,547,394,711,392
MMR013,Yangon,MMR013D004,Yangon (West),MMR013040,Hlaing,32837,23184,9653,147191,13116,155485,4822,2374,1334,2234,1344,72950,2079,964,562,935,602,82535,2743,1410,772,1299,742
MMR013,Yangon,MMR013D004,Yangon (West),MMR013041,Kamaryut,16299,11021,5278,72697,11872,83041,1528,479,472,857,444,36281,677,210,197,364,224,46760,851,269,275,493,220
MMR013,Yangon,MMR013D004,Yangon (West),MMR013042,Mayangone,38807,27872,10935,179839,18274,192744,5369,2075,1278,2806,1670,91051,2341,817,494,1201,753,101693,3028,1258,784,1605,917
MMR013,Yangon,MMR013D004,Yangon (West),MMR013043,Dagon,4608,3165,1443,20417,4665,24545,537,140,184,323,179,11626,220,45,63,135,90,12919,317,95,121,188,89
MMR013,Yangon,MMR013D004,Yangon (West),MMR013044,Bahan,17426,11907,5519,78793,17939,94357,2375,769,663,1334,667,44527,991,315,254,541,286,49830,1384,454,409,793,381
MMR013,Yangon,MMR013D004,Yangon (West),MMR013045,Seikkan,410,341,69,1994,832,2789,37,8,11,24,9,1676,21,6,7,10,4,1113,16,2,4,14,5
MMR222,Shan,MMR014D001,Taunggyi,MMR014001,Taunggyi,94869,72354,22515,411979,26077,421145,16911,8511,4744,6478,4584,205370,7830,3724,2090,2986,2110,215775,9081,4787,2654,3492,2474
MMR222,Shan,MMR014D001,Taunggyi,MMR014002,Nyaungshwe,42634,34334,8300,178457,10950,180479,8928,4585,2635,3438,2506,90419,4118,2013,1146,1528,1170,90060,4810,2572,1489,1910,1336
MMR222,Shan,MMR014D001,Taunggyi,MMR014003,Hopong,24728,19600,5128,105196,7152,108766,3582,1693,1380,1299,1287,53859,1676,753,604,576,547,54907,1906,940,776,723,740
MMR222,Shan,MMR014D001,Taunggyi,MMR014004,Hsihseng,32771,26495,6276,147902,5130,146219,6813,3393,2245,2388,2478,71553,3183,1549,970,1050,1175,74666,3630,1844,1275,1338,1303
MMR222,Shan,MMR014D001,Taunggyi,MMR014005,Kalaw,41341,30415,10926,178139,7944,179792,6291,3390,1707,2333,1678,90078,3014,1541,773,1107,762,89714,3277,1849,934,1226,916
MMR222,Shan,MMR014D001,Taunggyi,MMR014006,Pindaya,17544,12917,4627,76514,2789,75556,3747,2016,1185,1094,1229,36728,1740,933,533,478,558,38828,2007,1083,652,616,671
MMR222,Shan,MMR014D001,Taunggyi,MMR014007,Ywangan,18348,13836,4512,79018,3514,79020,3512,1529,1253,1224,1218,39213,1836,783,642,622,631,39807,1676,746,611,602,587
MMR222,Shan,MMR014D001,Taunggyi,MMR014008,Lawksawk,34107,28490,5617,155708,9022,155343,9387,4814,2916,3121,3219,79555,4771,2347,1433,1501,1559,75788,4616,2467,1483,1620,1660
MMR222,Shan,MMR014D001,Taunggyi,MMR014009,Pinlaung,42083,34912,7171,185249,7008,183583,8674,3743,2937,3666,4101,91258,4100,1771,1306,1616,1805,92325,4574,1972,1631,2050,2296
MMR222,Shan,MMR014D001,Taunggyi,MMR014010,Pekon,20084,17381,2703,101345,2245,100116,3474,1416,1288,1284,1248,50563,1730,664,654,634,635,49553,1744,752,634,650,613
MMR222,Shan,MMR014D002,Loilen,MMR014011,Loilen,25417,18899,6518,118565,5992,120649,3908,1515,1519,1675,1514,58720,1839,666,682,803,687,61929,2069,849,837,872,827
MMR222,Shan,MMR014D002,Loilen,MMR014012,Laihka,8790,6610,2180,47336,1495,46760,2071,1031,766,906,738,22666,980,455,349,416,342,24094,1091,576,417,490,396
MMR222,Shan,MMR014D002,Loilen,MMR014013,Nansang,23227,18097,5130,110305,6656,113269,3692,1650,1121,1227,1420,57346,1945,830,535,631,732,55923,1747,820,586,596,688
MMR222,Shan,MMR014D002,Loilen,MMR014014,Kunhing,11137,9250,1887,50063,3340,51994,1409,505,632,447,446,25888,735,257,328,233,223,26106,674,248,304,214,223
MMR222,Shan,MMR014D002,Loilen,MMR014015,Kyethi,14712,11445,3267,70623,3741,71614,2750,1115,1110,1082,1255,34084,1340,531,540,501,548,37530,1410,584,570,581,707
MMR222,Shan,MMR014D002,Loilen,MMR014016,Mongkaing,16332,12980,3352,71921,2373,71278,3016,1378,1195,1239,1035,33684,1438,609,550,586,479,37594,1578,769,645,653,556
MMR222,Shan,MMR014D002,Loilen,MMR014017,Monghsu,15867,13115,2752,68589,4163,69189,3563,1171,941,1073,2266,34504,1738,584,451,527,1063,34685,1825,587,490,546,1203
MMR222,Shan,MMR014D003,Langkho,MMR014018,Langkho,9548,7123,2425,38344,1967,36835,3476,1682,1281,1499,1518,18423,1783,842,651,720,739,18412,1693,840,630,779,779
