pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,lit_15ab_t,lit_rate_15ab_t,illit_15ab_t,pop_15ab_m,lit_15ab_m,lit_rate_15ab_m,illit_15ab_m,pop_15ab_f,lit_15ab_f,lit_rate_15ab_f,illit_15ab_f,pop_15ab_t_u,lit_15ab_t_u,lit_rate_15ab_t_u,illit_15ab_t_u,pop_15ab_m_u,lit_15ab_m_u,lit_rate_15ab_m_u,illit_15ab_m_u,pop_15ab_f_u,lit_15ab_f_u,lit_rate_15ab_f_u,illit_15ab_f_u,pop_15ab_t_r,lit_15ab_t_r,lit_rate_15ab_t_r,illit_15ab_t_r,pop_15ab_m_r,lit_15ab_m_r,lit_rate_15ab_m_r,illit_15ab_m_r,pop_15ab_f_r,lit_15ab_f_r,lit_rate_15ab_f_r,illit_15ab_f_r
MMR001,Kachin,MMR001D001,Myitkyina,MMR001001,Myitkyina,184827,94.2,11344,90050,86900,96.5,3150,106121,97927,92.3,8194,156416,148882,95.2,7534,71032,69065,97.2,1967,85384,79817,93.5,5567,39755,35945,90.4,3810,19018,17835,93.8,1183,20737,18110,87.3,2627
MMR001,Kachin,MMR001D001,Myitkyina,MMR001002,Waingmaw,62427,81.9,13777,36512,31392,86,5120,39692,31035,78.2,8657,16910,14622,86.5,2288,8115,7321,90.2,794,8795,7301,83,1494,59294,47805,80.6,11489,28397,24071,84.8,4326,30897,23734,76.8,7163
MMR001,Kachin,MMR001D001,Myitkyina,MMR001003,Injangyang,688,80.8,163,407,350,86,57,444,338,76.1,106,209,167,79.9,42,106,90,84.9,16,103,77,74.8,26,642,521,81.2,121,301,260,86.4,41,341,261,76.5,80
MMR001,Kachin,MMR001D001,Myitkyina,MMR001004,Tanai,27501,85.8,4544,16570,15006,90.6,1564,15475,12495,80.7,2980,19046,16850,88.5,2196,9845,9143,92.9,702,9201,7707,83.8,1494,12999,10651,81.9,2348,6725,5863,87.2,862,6274,4788,76.3,1486
MMR001,Kachin,MMR001D001,Myitkyina,MMR001005,Chipwi,6607,60.6,4298,5446,3686,67.7,1760,5459,2921,53.5,2538,1663,1463,88,200,785,737,93.9,48,878,726,82.7,152,9242,5144,55.7,4098,4661,2949,63.3,1712,4581,2195,47.9,2386
MMR001,Kachin,MMR001D001,Myitkyina,MMR001006,Tsawlaw,2666,72.8,998,1892,1466,77.5,426,1772,1200,67.7,572,192,161,83.9,31,95,85,89.5,10,97,76,78.4,21,3472,2505,72.1,967,1797,1381,76.9,416,1675,1124,67.1,551
MMR001,Kachin,MMR001D002,Mohnyin,MMR001007,Mohnyin,126016,95.6,5783,58925,57509,97.6,1416,72874,68507,94,4367,37635,35891,95.4,1744,16315,15881,97.3,434,21320,20010,93.9,1310,94164,90125,95.7,4039,42610,41628,97.7,982,51554,48497,94.1,3057
MMR001,Kachin,MMR001D002,Mohnyin,MMR001008,Mogaung,78874,93.4,5615,37809,36168,95.7,1641,46680,42706,91.5,3974,16588,15779,95.1,809,7133,6933,97.2,200,9455,8846,93.6,609,67901,63095,92.9,4806,30676,29235,95.3,1441,37225,33860,91,3365
MMR001,Kachin,MMR001D002,Mohnyin,MMR001009,Hpakant,110307,94.4,6579,63120,60623,96,2497,53766,49684,92.4,4082,27096,26021,96,1075,15222,14819,97.4,403,11874,11202,94.3,672,89790,84286,93.9,5504,47898,45804,95.6,2094,41892,38482,91.9,3410
MMR001,Kachin,MMR001D003,Bhamo,MMR001010,Bhamo,77447,94.7,4299,37787,36574,96.8,1213,43959,40873,93,3086,34327,33269,96.9,1058,15511,15260,98.4,251,18816,18009,95.7,807,47419,44178,93.2,3241,22276,21314,95.7,962,25143,22864,90.9,2279
MMR001,Kachin,MMR001D003,Bhamo,MMR001011,Shwegu,54814,97.3,1535,26548,26104,98.3,444,29801,28710,96.3,1091,13149,12783,97.2,366,5917,5815,98.3,102,7232,6968,96.3,264,43200,42031,97.3,1169,20631,20289,98.3,342,22569,21742,96.3,827
MMR001,Kachin,MMR001D003,Bhamo,MMR001012,Momauk,32699,82.7,6824,18498,16047,86.7,2451,21025,16652,79.2,4373,12192,10565,86.7,1627,5602,4910,87.6,692,6590,5655,85.8,935,27331,22134,81,5197,12896,11137,86.4,1759,14435,10997,76.2,3438
MMR001,Kachin,MMR001D003,Bhamo,MMR001013,Mansi,30944,89.3,3724,16726,15358,91.8,1368,17942,15586,86.9,2356,5304,4962,93.6,342,2536,2397,94.5,139,2768,2565,92.7,203,29364,25982,88.5,3382,14190,12961,91.3,1229,15174,13021,85.8,2153
MMR001,Kachin,MMR001D004,Puta-O,MMR001014,Puta-O,31250,88,4264,16910,15644,92.5,1266,18604,15606,83.9,2998,9176,8378,91.3,798,4111,3931,95.6,180,5065,4447,87.8,618,26338,22872,86.8,3466,12799,11713,91.5,1086,13539,11159,82.4,2380
MMR001,Kachin,MMR001D004,Puta-O,MMR001015,Sumprabum,1119,76.7,340,718,599,83.4,119,741,520,70.2,221,623,532,85.4,91,317,287,90.5,30,306,245,80.1,61,836,587,70.2,249,401,312,77.8,89,435,275,63.2,160
MMR001,Kachin,MMR001D004,Puta-O,MMR001016,Machanbaw,4291,87.2,632,2353,2138,90.9,215,2570,2153,83.8,417,1295,1219,94.1,76,610,594,97.4,16,685,625,91.2,60,3628,3072,84.7,556,1743,1544,88.6,199,1885,1528,81.1,357
MMR001,Kachin,MMR001D004,Puta-O,MMR001018,Khaunglanhpu,6368,81.2,1474,4003,3310,82.7,693,3839,3058,79.7,781,247,243,98.4,4,137,137,100,0,110,106,96.4,4,7595,6125,80.6,1470,3866,3173,82.1,693,3729,2952,79.2,777
MMR001,Kachin,MMR001D004,Puta-O,MMR001017,Nawngmun,3757,89.3,451,2121,1982,93.4,139,2087,1775,85.1,312,1317,1249,94.8,68,642,627,97.7,15,675,622,92.1,53,2891,2508,86.8,383,1479,1355,91.6,124,1412,1153,81.7,259
MMR002,Kayah,MMR002D001,Loikaw,MMR002001,Loikaw,71062,85.9,11666,38727,35080,90.6,3647,44001,35982,81.8,8019,34659,33014,95.3,1645,15718,15337,97.6,381,18941,17677,93.3,1264,48069,38048,79.2,10021,23009,19743,85.8,3266,25060,18305,73,6755
MMR002,Kayah,MMR002D001,Loikaw,MMR002002,Demoso,37866,79.3,9859,22590,19313,85.5,3277,25135,18553,73.8,6582,3434,2938,85.6,496,1584,1433,90.5,151,1850,1505,81.4,345,44291,34928,78.9,9363,21006,17880,85.1,3126,23285,17048,73.2,6237
MMR002,Kayah,MMR002D001,Loikaw,MMR002003,Hpruso,11908,70.8,4903,7830,6103,77.9,1727,8981,5805,64.6,3176,2539,2217,87.3,322,1178,1083,91.9,95,1361,1134,83.3,227,14272,9691,67.9,4581,6652,5020,75.5,1632,7620,4671,61.3,2949
MMR002,Kayah,MMR002D001,Loikaw,MMR002004,Shadaw,1720,43,2278,1928,943,48.9,985,2070,777,37.5,1293,1042,753,72.3,289,491,384,78.2,107,551,369,67,182,2956,967,32.7,1989,1437,559,38.9,878,1519,408,26.9,1111
MMR002,Kayah,MMR002D002,Bawlake,MMR002005,Bawlakhe,5301,85.9,867,3092,2788,90.2,304,3076,2513,81.7,563,3174,2786,87.8,388,1558,1441,92.5,117,1616,1345,83.2,271,2994,2515,84,479,1534,1347,87.8,187,1460,1168,80,292
MMR002,Kayah,MMR002D002,Bawlake,MMR002006,Hpasawng,13043,89.1,1603,7411,6674,90.1,737,7235,6369,88,866,1851,1745,94.3,106,879,842,95.8,37,972,903,92.9,69,12795,11298,88.3,1497,6532,5832,89.3,700,6263,5466,87.3,797
MMR002,Kayah,MMR002D002,Bawlake,MMR002007,Mese,3185,91.2,309,1793,1663,92.7,130,1701,1522,89.5,179,537,531,98.9,6,269,266,98.9,3,268,265,98.9,3,2957,2654,89.8,303,1524,1397,91.7,127,1433,1257,87.7,176
MMR003,Kayin,MMR003D001,Hpa-An,MMR003001,Hpa-An,209073,79.9,52581,118910,100358,84.4,18552,142744,108715,76.2,34029,51192,48757,95.2,2435,23717,23008,97,709,27475,25749,93.7,1726,210462,160316,76.2,50146,95193,77350,81.3,17843,115269,82966,72,32303
MMR003,Kayin,MMR003D001,Hpa-An,MMR003002,Hlaingbwe,87506,55.3,70669,73239,43360,59.2,29879,84936,44146,52,40790,10266,8799,85.7,1467,4685,4146,88.5,539,5581,4653,83.4,928,147909,78707,53.2,69202,68554,39214,57.2,29340,79355,39493,49.8,39862
MMR003,Kayin,MMR003D001,Hpa-An,MMR003004,Thandaunggyi,54192,92.5,4408,29105,27250,93.6,1855,29495,26942,91.3,2553,13334,13044,97.8,290,6479,6369,98.3,110,6855,6675,97.4,180,45266,41148,90.9,4118,22626,20881,92.3,1745,22640,20267,89.5,2373
MMR003,Kayin,MMR003D004,Hpapun,MMR003003,Hpapun,17012,84.3,3164,9538,8402,88.1,1136,10638,8610,80.9,2028,10714,9387,87.6,1327,4982,4549,91.3,433,5732,4838,84.4,894,9462,7625,80.6,1837,4556,3853,84.6,703,4906,3772,76.9,1134
MMR003,Kayin,MMR003D002,Myawaddy,MMR003005,Myawaddy,110727,83.6,21682,65108,56157,86.3,8951,67301,54570,81.1,12731,75409,70861,94,4548,36692,35242,96,1450,38717,35619,92,3098,57000,39866,69.9,17134,28416,20915,73.6,7501,28584,18951,66.3,9633
MMR003,Kayin,MMR003D003,Kawkareik,MMR003006,Kawkareik,102378,74.3,35397,62300,49883,80.1,12417,75475,52495,69.6,22980,29536,27351,92.6,2185,13629,12956,95.1,673,15907,14395,90.5,1512,108239,75027,69.3,33212,48671,36927,75.9,11744,59568,38100,64,21468
MMR003,Kayin,MMR003D003,Kawkareik,MMR003007,Kyainseikgyi,106983,68.7,48674,74082,53630,72.4,20452,81575,53353,65.4,28222,26414,23956,90.7,2458,12222,11355,92.9,867,14192,12601,88.8,1591,129243,83027,64.2,46216,61860,42275,68.3,19585,67383,40752,60.5,26631
MMR004,Chin,MMR004D003,Hakha,MMR004002,Hakha,26292,87.9,3626,13233,12076,91.3,1157,16685,14216,85.2,2469,16139,14661,90.8,1478,6963,6566,94.3,397,9176,8095,88.2,1081,13779,11631,84.4,2148,6270,5510,87.9,760,7509,6121,81.5,1388
MMR004,Chin,MMR004D003,Hakha,MMR004003,Thantlang,25357,84.7,4566,13968,12467,89.3,1501,15955,12890,80.8,3065,4937,4609,93.4,328,2222,2120,95.4,102,2715,2489,91.7,226,24986,20748,83,4238,11746,10347,88.1,1399,13240,10401,78.6,2839
MMR004,Chin,MMR004D001,Falam,MMR004001,Falam,25568,88.9,3190,13801,12929,93.7,872,14957,12639,84.5,2318,8077,7591,94,486,3694,3593,97.3,101,4383,3998,91.2,385,20681,17977,86.9,2704,10107,9336,92.4,771,10574,8641,81.7,1933
MMR004,Chin,MMR004D001,Falam,MMR004004,Tedim,44487,86.7,6837,23633,22107,93.5,1526,27691,22380,80.8,5311,8766,8369,95.5,397,3945,3872,98.1,73,4821,4497,93.3,324,42558,36118,84.9,6440,19688,18235,92.6,1453,22870,17883,78.2,4987
MMR004,Chin,MMR004D001,Falam,MMR004005,Tonzang,15437,87.3,2246,8480,7984,94.2,496,9203,7453,81,1750,3035,2787,91.8,248,1362,1318,96.8,44,1673,1469,87.8,204,14648,12650,86.4,1998,7118,6666,93.6,452,7530,5984,79.5,1546
MMR004,Chin,MMR004D002,Mindat,MMR004006,Mindat,16312,69.1,7298,10083,8456,83.9,1627,13527,7856,58.1,5671,6853,5650,82.4,1203,2875,2705,94.1,170,3978,2945,74,1033,16757,10662,63.6,6095,7208,5751,79.8,1457,9549,4911,51.4,4638
MMR004,Chin,MMR004D002,Mindat,MMR004007,Matupi,23314,76.6,7106,13384,11534,86.2,1850,17036,11780,69.1,5256,6453,5371,83.2,1082,2821,2590,91.8,231,3632,2781,76.6,851,23967,17943,74.9,6024,10563,8944,84.7,1619,13404,8999,67.1,4405
MMR004,Chin,MMR004D002,Mindat,MMR004008,Kanpetlet,8134,70.9,3338,5039,4353,86.4,686,6433,3781,58.8,2652,2311,1914,82.8,397,997,942,94.5,55,1314,972,74,342,9161,6220,67.9,2941,4042,3411,84.4,631,5119,2809,54.9,2310
