pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,lit_15ab_t,lit_rate_15ab_t,illit_15ab_t,pop_15ab_m,lit_15ab_m,lit_rate_15ab_m,illit_15ab_m,pop_15ab_f,lit_15ab_f,lit_rate_15ab_f,illit_15ab_f,pop_15ab_t_u,lit_15ab_t_u,lit_rate_15ab_t_u,illit_15ab_t_u,pop_15ab_m_u,lit_15ab_m_u,lit_rate_15ab_m_u,illit_15ab_m_u,pop_15ab_f_u,lit_15ab_f_u,lit_rate_15ab_f_u,illit_15ab_f_u,pop_15ab_t_r,lit_15ab_t_r,lit_rate_15ab_t_r,illit_15ab_t_r,pop_15ab_m_r,lit_15ab_m_r,lit_rate_15ab_m_r,illit_15ab_m_r,pop_15ab_f_r,lit_15ab_f_r,lit_rate_15ab_f_r,illit_15ab_f_r
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017009,Zalun,113749,95.3,5639,54441,53031,97.4,1410,64947,60718,93.5,4229,15567,14726,94.6,841,6914,6723,97.2,191,8653,8003,92.5,650,103821,99023,95.4,4798,47527,46308,97.4,1219,56294,52715,93.6,3579
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017011,Myanaung,153938,95.6,7013,72708,71038,97.7,1670,88243,82900,93.9,5343,17155,16759,97.7,396,7271,7206,99.1,65,9884,9553,96.7,331,143796,137179,95.4,6617,65437,63832,97.5,1605,78359,73347,93.6,5012
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017010,Lemyethna,68859,94.7,3840,33969,32781,96.5,1188,38730,36078,93.2,2652,2085,2062,98.9,23,912,906,99.3,6,1173,1156,98.6,17,70614,66797,94.6,3817,33057,31875,96.4,1182,37557,34922,93,2635
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017008,Hinthada,233474,95.7,10368,110659,108111,97.7,2548,133183,125363,94.1,7820,61021,59202,97,1819,26788,26391,98.5,397,34233,32811,95.8,1422,182821,174272,95.3,8549,83871,81720,97.4,2151,98950,92552,93.5,6398
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017013,Ingapu,148415,96,6251,71333,69804,97.9,1529,83333,78611,94.3,4722,9888,9657,97.7,231,4356,4309,98.9,47,5532,5348,96.7,184,144778,138758,95.8,6020,66977,65495,97.8,1482,77801,73263,94.2,4538
MMR018,Nay Pyi Taw,MMR018D001,Nay Pyi Taw (North),MMR018003,Tatkon,139456,92.3,11684,68670,66922,97.5,1748,82470,72534,88,9936,29723,28804,96.9,919,13171,13008,98.8,163,16552,15796,95.4,756,121417,110652,91.1,10765,55499,53914,97.1,1585,65918,56738,86.1,9180
MMR018,Nay Pyi Taw,MMR018D001,Nay Pyi Taw (North),MMR018001,Zay Yar Thi Ri,70206,96.5,2583,34379,33937,98.7,442,38410,36269,94.4,2141,21543,20983,97.4,560,10404,10297,99,107,11139,10686,95.9,453,51246,49223,96.1,2023,23975,23640,98.6,335,27271,25583,93.8,1688
MMR018,Nay Pyi Taw,MMR018D001,Nay Pyi Taw (North),MMR018008,Oke Ta Ra Thi Ri,47476,91.3,4504,25200,24351,96.6,849,26780,23125,86.4,3655,14450,13611,94.2,839,7201,7009,97.3,192,7249,6602,91.1,647,37530,33865,90.2,3665,17999,17342,96.3,657,19531,16523,84.6,3008
MMR018,Nay Pyi Taw,MMR018D001,Nay Pyi Taw (North),MMR018005,Poke Ba Thi Ri,71280,94,4578,35498,34807,98.1,691,40360,36473,90.4,3887,28726,27541,95.9,1185,13406,13225,98.6,181,15320,14316,93.4,1004,47132,43739,92.8,3393,22092,21582,97.7,510,25040,22157,88.5,2883
MMR018,Nay Pyi Taw,MMR018D002,Nay Pyi Taw (South),MMR018006,Pyinmana,120806,95.4,5873,58097,56798,97.8,1299,68582,64008,93.3,4574,50318,48950,97.3,1368,22369,22100,98.8,269,27949,26850,96.1,1099,76361,71856,94.1,4505,35728,34698,97.1,1030,40633,37158,91.4,3475
MMR018,Nay Pyi Taw,MMR018D002,Nay Pyi Taw (South),MMR018007,Lewe,180068,94.4,10723,88802,87065,98,1737,101989,93003,91.2,8986,21117,20671,97.9,446,9605,9530,99.2,75,11512,11141,96.8,371,169674,159397,93.9,10277,79197,77535,97.9,1662,90477,81862,90.5,8615
MMR018,Nay Pyi Taw,MMR018D002,Nay Pyi Taw (South),MMR018002,Za Bu Thi Ri,68782,98.3,1204,32047,31807,99.3,240,37939,36975,97.5,964,66016,64946,98.4,1070,30209,29994,99.3,215,35807,34952,97.6,855,3970,3836,96.6,134,1838,1813,98.6,25,2132,2023,94.9,109
MMR018,Nay Pyi Taw,MMR018D002,Nay Pyi Taw (South),MMR018004,Det Khi Na Thi Ri,17993,93.9,1178,9079,8879,97.8,200,10092,9114,90.3,978,2751,2657,96.6,94,1330,1317,99,13,1421,1340,94.3,81,16420,15336,93.4,1084,7749,7562,97.6,187,8671,7774,89.7,897
